Customer_ID,Name,Age,Gender,Account_Type,Account_Balance,Transaction_Date,Transaction_Type,Transaction_Amount,Branch_Code,Is_International_Transaction
f121ef01,Susan Scott,39.0,Female,Current,71905.72,2023-10-19,Credit,318.92,B002,0
7d6d04b1,William Armstrong,39.0,Female,Current,43691.66,2025-03-09,Debit,17.94,B002,0
28448216,Michael Davis,58.0,Male,Current,94642.79,2025-01-02,Debit,361.8,B004,1
efa7d343,Steven Kim,36.0,Female,Current,,2024-01-05,Debit,957.53,B005,1
1294cc9b,Ryan Phillips,44.0,Male,Salary,43461.65,2025-02-07,Debit,372.73,B004,0
54910864,Carol Lynn,42.0,Male,Savings,35826.23,2025-01-15,Credit,3915.53,B001,0
e3913af5,Max Mullins,,Male,Current,25537.47,2025-06-25,Credit,8741.01,B001,0
ee99bfff,Amber Clarke,53.0,Female,Salary,83343.82,2025-01-12,Debit,5330.73,B003,0
49f9213b,George Stephens,29.0,Female,Salary,83698.51,2024-02-24,Debit,9836.07,B004,1
6a544d5a,Tammy Cunningham,71.0,Female,Salary,85361.51,2025-01-26,Debit,291.83,B004,1
db82f334,Keith Ballard,40.0,Female,Salary,4609.07,2024-12-26,Credit,9849.07,B001,0
6f4f3557,Joshua Stokes,31.0,Male,Salary,48470.28,2024-12-11,Credit,6250.74,B001,1
0a5efd93,Mrs. Linda Phelps,52.0,Female,Savings,31177.77,2024-01-29,Credit,6065.66,B003,1
0d42b281,John Wilkins,24.0,Female,Savings,6811.59,2024-01-29,Debit,9392.44,B003,1
97a379a4,Blake Williams,53.0,Female,Current,33154.08,2024-09-04,Debit,4805.16,B001,1
837d2665,Brittany Reid,34.0,Male,Salary,72141.38,2024-08-09,Credit,449.65,B001,0
ba7eb4ef,Alexa Ferguson,58.0,Female,Savings,61408.79,2025-06-05,Credit,7963.65,B002,0
adc33881,Dustin Acevedo,47.0,Male,Savings,38513.59,2023-10-16,Credit,8816.46,B001,0
3aca98da,Angela Smith,39.0,Male,Current,8824.14,2024-09-05,Debit,7922.56,B004,1
616f010b,Justin Olson,36.0,Female,Salary,64168.09,2024-09-19,Debit,,B002,1
56bd086a,Stephen Reed,24.0,Female,Current,15664.37,2025-03-01,Debit,8895.28,B001,0
839c4da4,Margaret Andrade,68.0,Male,Salary,26469.31,2024-10-12,Credit,4520.78,B002,0
5f6c56c2,Mike Mcgee,48.0,Female,Savings,11567.06,2024-05-18,Credit,5690.48,B002,1
721c5e76,Barbara Friedman,27.0,Female,Salary,59302.69,2024-04-25,Debit,9334.15,B005,0
e1c63c84,Tina Pope,38.0,Female,Current,20920.19,2023-12-08,Debit,9201.58,B003,0
0b0eac0a,Jennifer Rasmussen,21.0,Male,Savings,95134.86,2025-05-31,Debit,6704.63,B003,0
a43a0071,Kimberly Mccoy,36.0,Female,Savings,9446.01,2024-06-14,Debit,6503.24,B002,0
d838349a,Vanessa Sanchez,35.0,Female,Salary,4712.6,2024-03-30,Debit,4349.57,B001,0
61691c98,Adrian Rivera,40.0,Female,Savings,51283.22,2024-10-24,Debit,5281.78,B004,1
3fecaee1,Thomas Robinson,62.0,Male,Savings,58165.32,2025-02-05,Debit,3425.08,B001,0
3f186af5,Paul Martinez,63.0,Male,Savings,3363.15,2024-06-03,Debit,,B003,1
5f065630,Emily Howard,52.0,Female,Current,98423.76,2025-04-19,Credit,2153.22,B005,1
67289c98,Barbara Sampson,71.0,Female,Savings,23428.27,2025-06-26,Debit,2446.97,B002,0
2a4eb700,Leah Smith,60.0,Female,Current,58919.69,2024-01-29,Credit,305.26,B003,0
c71f22df,Sarah Martinez,37.0,Female,Salary,52625.83,2025-06-15,Credit,4752.22,B001,0
58761f82,Douglas Smith,70.0,Male,Savings,75329.26,2025-05-01,Debit,1634.2,B003,0
99c7ae3d,Bryan Williams,44.0,Male,Salary,43288.64,2023-12-10,Debit,5260.55,B005,0
bc856bb6,Jeanne Parker,39.0,Male,Current,23660.12,2023-10-10,Credit,4551.38,B001,1
2c4b0619,William Castro,,Male,Current,19141.99,2023-12-22,Debit,2519.32,B004,0
780efcfd,Richard Lopez,49.0,Female,Savings,7055.33,2024-02-25,Debit,8419.95,B004,1
7ad9996e,Ivan Phillips,67.0,Female,Salary,89667.78,2024-10-01,Credit,2769.32,B002,0
2298ecba,Michael Price,66.0,Male,Savings,26921.03,2025-04-09,Credit,6234.81,B003,1
f68b4bd4,Tammy Torres,36.0,Male,Salary,70422.29,2024-05-28,Credit,6523.84,B002,1
9f7377e7,Lisa Bowman,19.0,Female,Current,57275.29,2025-06-21,Debit,6782.45,B004,0
8acfb2ef,Linda Anderson,23.0,Male,Current,75099.73,2025-06-08,Debit,7276.41,B005,1
8a2c89d1,Joshua Flynn,36.0,Female,Savings,50939.56,2025-06-16,Credit,4656.58,B005,1
ae14ef9b,Danny Smith,63.0,Female,Current,35400.03,2025-02-25,Debit,1096.91,B005,0
d2655734,Anna Newman,22.0,Male,Current,35763.46,2024-01-06,Debit,3419.49,B005,1
9005723b,Lisa Davis,37.0,Male,Savings,49507.05,2023-08-15,Credit,8092.76,B002,1
f32d8cd9,Frank Thomas,31.0,Female,Current,20949.69,2025-02-08,Credit,5990.08,B001,1
f912af26,Elizabeth Perez,27.0,Female,Salary,33148.18,2024-10-23,Debit,6073.31,B004,0
49d6cbe7,Corey Jackson,53.0,Male,Salary,55740.77,2023-12-14,Credit,4663.82,B001,0
5193219b,Tina Sims,66.0,Female,Current,33209.44,2025-06-21,Credit,9284.05,B001,1
d87da761,Lauren Ramirez,35.0,Female,Current,67846.83,2025-04-15,Debit,3884.85,B004,0
8ba1c163,Stephanie Richardson,64.0,Male,Current,88662.43,2024-12-21,Credit,4109.51,B005,0
b701b1ed,John Snyder,37.0,Male,Current,25990.59,2025-02-23,Credit,,B003,0
c55e812c,David Mccormick,26.0,Male,Current,96623.22,2023-07-14,Credit,2399.56,B002,0
192e6fd4,Angela Thompson,35.0,Female,Salary,32970.81,2025-02-16,Debit,6374.14,B003,0
b8091622,Jeffery Jones,46.0,Female,Savings,59017.51,2024-10-08,Debit,1597.43,B003,1
be9abd40,Terry Gibson,21.0,Female,Salary,70648.52,2024-10-11,Debit,6891.11,B005,0
dbd9586c,Alan Brown,20.0,Male,Salary,66893.61,2024-04-20,Credit,2616.76,B004,0
b45f0aa3,Justin Thomas,53.0,Female,Current,20903.19,2024-09-05,Credit,,B002,1
64093252,William Hernandez,,Female,Current,6605.92,2024-03-22,Credit,7166.69,B001,1
edcbf40a,Roy Lee,69.0,Male,Savings,74815.32,2025-05-13,Debit,2986.82,B002,1
72da2a81,Ashley Foster,,Female,Current,96029.18,2023-10-11,Debit,1196.29,B002,1
578e17ed,Bradley Dominguez,70.0,Female,Current,80484.68,2023-09-17,Credit,1843.22,B003,1
b5ac1898,Ryan Garcia,47.0,Female,Salary,6944.39,2024-01-02,Credit,5638.66,B001,0
593103d6,Carrie Brown,48.0,Female,Savings,40957.22,2025-06-20,Credit,6799.9,B004,0
c696598d,Thomas Bruce,64.0,Female,Current,93288.23,2023-11-27,Debit,6297.56,B003,1
23f263ef,Matthew Wilson,37.0,Male,Salary,95310.07,2023-07-27,Credit,7195.92,B005,1
0eff912a,Diana Sullivan,70.0,Male,Current,75905.18,2023-11-01,Credit,4061.6,B002,1
35e9aa05,Ruben Fischer,57.0,Female,Savings,65855.29,2024-10-22,Credit,9539.02,B005,0
79551a8a,Jacob Thomas,60.0,Male,Current,33699.03,2024-09-14,Debit,4023.3,B005,0
4376a521,Russell Wade,73.0,Female,Current,37196.21,2024-02-01,Debit,1618.19,B001,0
596dacd9,Audrey Davis,44.0,Male,Salary,58976.63,2025-02-10,Credit,2138.93,B005,0
f21a5fe7,Julie Ruiz,49.0,Female,Current,82579.13,2024-02-15,Credit,7535.6,B001,0
ae12554d,Justin Brooks,34.0,Female,Salary,15481.38,2023-09-01,Debit,9535.39,B003,1
dba1cf48,Amy Kaiser,32.0,Female,Current,72758.31,2024-10-07,Debit,9882.38,B004,1
81697c16,Christine Holmes,70.0,Female,Salary,94851.41,2024-10-10,Debit,,B002,0
54a62ed7,Sara Scott,58.0,Male,Savings,,2023-10-09,Debit,9953.45,B004,0
d08cb5c9,Patricia Everett,26.0,Male,Savings,76983.7,2024-02-12,Credit,9273.01,B005,1
d5aa54a2,Anna Conner,31.0,Female,Current,72013.88,2023-10-06,Credit,4174.12,B004,1
ed2dfe70,Maria Sanders,20.0,Male,Current,64504.56,2023-10-02,Credit,9324.41,B002,1
9e15a90a,Emily Sharp,45.0,Female,Salary,72130.47,2024-06-05,Debit,818.76,B003,0
04542ca1,Patrick Davis,50.0,Male,Salary,55440.17,2025-05-25,Debit,9613.31,B001,0
4d243475,Kimberly Higgins,74.0,Male,Savings,87238.99,2024-11-28,Credit,4060.03,B004,1
b51a9cf2,Joshua Simon,67.0,Female,Salary,15735.76,2024-11-11,Credit,8722.8,B001,0
cb4c7c17,Brittany Quinn,41.0,Male,Salary,27079.53,2023-11-03,Debit,5615.61,B005,0
663f4556,Norman Garcia,66.0,Male,Savings,72613.95,2025-01-09,Debit,8027.64,B002,1
6ca18547,Joe Moore,50.0,Male,Salary,1419.06,2025-06-27,Debit,3010.09,B002,1
